,E104,E094,E098,E100,E085,E087,E097,E106,E065,E105,E066,E114,E116,E118,E119,E120,E122,E079,E123,E113,E003,E127,E027,E004,E006,E057,E056,E055,E007,E054,E058,E011,E053,E050,E012,E013,E016,E059,E024,E117,E070,E071,E038,E096,E109,E112,E095,E047,E084,E082,E062,E005,E061,E028,E037
E066,0.11463435171777206,0.09960608720785806,0.1052457742156311,0.06973960578713252,0.015367112061387052,0.08989423491303664,0.02818567308189796,0.20478040884575893,0.03309642233255385,0.45420917880820294,1.0,0.2994654857970783,0.31119260677488747,0.3183223151956097,0.5114858524379376,0.4490672116774678,0.2958934388961503,0.8175376650323415,0.17846224718675407,0.38582855816788514,0.6338348961773388,0.5869633039276897,0.32977410566687,0.3775114109218505,0.5892356432457871,0.3028946954782014,0.35538911477182306,0.45771033949830475,0.6956693744052506,0.455946284955198,0.45981824814585204,0.649168381428025,0.6843096774676298,0.6896106951751528,0.5527315653649341,0.593449183078977,0.6005884457315346,0.3818512190225776,0.29474341978216867,0.1323750045399352,0.3878581266216779,0.10646126385391842,0.3690470147100644,0.5291281220650287,0.46800498597883033,0.43088457402992664,0.19274048556873583,0.42731673195431963,0.35021934806759136,0.43204703338994,0.2975236708310701,0.43769878508238647,0.3780355382162158,0.3622323038727368,0.3334816396634274
E114,0.12415826732334126,0.11510311815625329,0.15762733008035582,0.08068016685072449,0.006366048820952207,0.06139730023326476,0.014834480392668955,0.16924120376304974,0.023009911094715018,0.41605039487319706,0.2994654857970783,1.0,0.562120346367543,0.3128273279303231,0.4221223713054679,0.3517552949037735,0.32199653209076573,0.242261777114335,0.1932345825523908,0.4128798665541095,0.40539532533082034,0.4897839240780591,0.24088029387292867,0.22747960731056835,0.3699201382253484,0.2205126476102985,0.22522069818847823,0.28662830487071406,0.4182868833677175,0.3655094356948096,0.22443797661046558,0.46352579242002045,0.3254525777811344,0.3312462695303545,0.3933788492365205,0.48478836108678025,0.4388011997235123,0.17907922319835468,0.1866816660708019,0.1690162616684587,0.24108290551949577,0.07183833276082982,0.4345639061103068,0.3545413574126868,0.43883883203256835,0.3624010481274892,0.11656254601891679,0.5424000587894591,0.2493735623224183,0.29157897646715253,0.2167966278088766,0.2663130047169962,0.5034894736746768,0.4727404024810839,0.4277834918145975
E116,0.14697452363280095,0.14341682709460132,0.18214405327455707,0.09687087653233942,0.007797668808925534,0.06788996458200965,0.017359434348519966,0.1898791047130037,0.026374314053832455,0.38193568553422114,0.31119260677488747,0.562120346367543,1.0,0.358253202864532,0.4696080485439106,0.40663361335336445,0.4140129806029927,0.25299428915189576,0.2509975976406449,0.5664057404262632,0.4745336950949515,0.5258489202917032,0.32251922704561486,0.45067139028471254,0.45156551713455395,0.28029066755810045,0.25837785548900316,0.31691900656215966,0.5026833655794825,0.4238545382071158,0.256972367923748,0.5789222905472384,0.3266350770295813,0.3302692582003392,0.5005140454430033,0.5897761234435839,0.5131301879675654,0.22640009472946174,0.2667337835671209,0.21470003620161537,0.26664139821338806,0.09795064201034814,0.4033041280535505,0.41742572095265845,0.34437170010519325,0.2711321612194756,0.14815624214923823,0.5204104433642184,0.31896339824882114,0.35617810174009107,0.23576734399413737,0.3172258399553917,0.33278840285629047,0.38384744539458315,0.3934454493953744
E118,0.10428201583207752,0.09201703209991897,0.1386624106116491,0.05991603813296197,0.0067095745452666455,0.05395174265959384,0.01568156122626648,0.1367385982986955,0.022089981321328823,0.3170772560499532,0.3183223151956097,0.3128273279303231,0.358253202864532,1.0,0.4812600870707657,0.3897686540842355,0.19709802446197286,0.27208859054322476,0.9136079660002887,0.35710011056811897,0.3669704467032943,0.5054415097782666,0.7881981664377058,0.2701231556316142,0.28782619653314967,0.87916566569652,0.8681172600196713,0.41579202765837436,0.3986229292019592,0.46719353929396273,0.3108802914467489,0.38364062995665454,0.3296746238247353,0.3612251443109218,0.41527830572767727,0.39943829222024235,0.3960459307648339,0.2295126744791863,0.38796295873351244,0.14651136378526736,0.19452311726856178,0.13257804851541877,0.22432172237702822,0.2958450552543627,0.34207884128992655,0.17631990836090086,0.10929954033168492,0.2745213575587165,0.18048011146025758,0.21347003180023424,0.14386998680333418,0.28267564569857134,0.2580543727007477,0.2416207058053202,0.20799637134021898
E119,0.3129394272415731,0.31354002059433533,0.25561193733774834,0.18362226135628335,0.01212631644912385,0.08046650255741941,0.025014184855118873,0.20465765780889394,0.026428402812401146,0.46257797539858025,0.5114858524379376,0.4221223713054679,0.4696080485439106,0.4812600870707657,1.0,0.7024368252976965,0.25653767835757646,0.4716658926752182,0.2815997814141752,0.49233527413089617,0.5581096474321372,0.8234307290138796,0.43901267281787393,0.4383555280065182,0.47025686628895386,0.38316360062894733,0.441208378093319,0.5799200147780055,0.6271772847834697,0.674936554902958,0.42545392305575935,0.5955329546136727,0.5320511808625334,0.5508097702369903,0.69888270910466,0.575818331450672,0.5670817085448783,0.3473752150272318,0.3142777880300441,0.20329313864970008,0.2976093776206385,0.1452463751502482,0.37792027535515854,0.5249641396537846,0.432887109694519,0.2917290996904107,0.1569520522478557,0.43173377446597866,0.28550562695346254,0.35563548904101966,0.26413818880308915,0.49976048740417534,0.3982665875102174,0.39687120827975764,0.356407268550062
E120,0.1737771852590719,0.1539566180694798,0.1433964669425888,0.09829473908198054,0.01199576959037757,0.08896590918954873,0.02742501954702954,0.20560198171394975,0.035104719900095366,0.43519380669164776,0.4490672116774678,0.3517552949037735,0.40663361335336445,0.3897686540842355,0.7024368252976965,1.0,0.2527682194380552,0.39375028666368406,0.23971874228254947,0.4530478225134571,0.5244722852111146,0.6744832154998103,0.36933215800734953,0.37662420365800997,0.4549232057143009,0.32239889823171103,0.38546393553606356,0.5943993072637088,0.5381111057670931,0.6865038386757341,0.46703032685083723,0.539764066701626,0.49694674664491434,0.5133221908835387,0.5887374865081584,0.530823148201363,0.5414350351945086,0.36601234153441997,0.29309847872635064,0.2147113865776351,0.2875345181520276,0.1202275529414768,0.3305794198428104,0.5258129632228905,0.4299492464427772,0.37680448367404934,0.20347483331952304,0.42338627309283433,0.34183442901382194,0.3825543572319907,0.3426379169008684,0.5191729839128724,0.38255428551462983,0.3340181139083499,0.29431899690638086
E122,0.09516716308271246,0.09141869577176918,0.11339077491448482,0.06441595531780686,0.00493731369000536,0.04531164879640858,0.011365314813189514,0.11386591851380119,0.019384229427464057,0.21522521864316227,0.2958934388961503,0.32199653209076573,0.4140129806029927,0.19709802446197286,0.25653767835757646,0.2527682194380552,1.0,0.18297851404881266,0.12992346418237152,0.31474199239155287,0.3093998621191278,0.28795457390140344,0.15446777737426656,0.17677191793405586,0.2977078445102268,0.14966984928289725,0.14165287516766087,0.21636700565519734,0.30828370450221126,0.26658382962484894,0.17241305672434856,0.36004334791365983,0.20192438114551972,0.20832241118320818,0.2986862611073664,0.377044667005021,0.33059313001768315,0.13842374116180525,0.1475136539320251,0.13217624259212185,0.17672721352236048,0.05031881703402877,0.20991472184116416,0.2566162366712753,0.20434096102510552,0.1999048842592849,0.10083363390890544,0.30230320136667943,0.22703616593744363,0.2889321181749628,0.16805981702098394,0.21212122439871706,0.18421928531040418,0.1929356849923408,0.20078590474248137
E079,0.08980728900069146,0.080785705422367,0.07729247320494566,0.05139205584897026,0.009705125666531528,0.06357739033600016,0.022221231336110706,0.16530680392351477,0.015967640901343373,0.3680020171905349,0.8175376650323415,0.242261777114335,0.25299428915189576,0.27208859054322476,0.4716658926752182,0.39375028666368406,0.18297851404881266,1.0,0.15075893931609013,0.2874765338206908,0.5740918386300057,0.5235740149062181,0.2768524872558134,0.3182315527289958,0.52565474802332,0.2651323430512022,0.31473144053621566,0.3701015838993845,0.6725419663200781,0.37216081733560646,0.38869984293716064,0.6094066763275459,0.6807798920026501,0.6868948606836229,0.4913706057019341,0.5401195441154617,0.5444810085797778,0.3225344971614025,0.23513291074141773,0.10070554788755817,0.2963902934941397,0.08491164624840881,0.3162312191456701,0.4360677143465275,0.3520088040500606,0.26992275849805913,0.12281235378125813,0.36214670677779837,0.24360265396165684,0.3109857513896655,0.1830009748625979,0.33002632066756854,0.3043624001805313,0.31015689752735454,0.2802202860083109
E123,0.06880422867720942,0.062026856621856544,0.07574790680943574,0.041123923453962354,0.00425407682311194,0.03958758915575851,0.010218867783986847,0.0920800810578944,0.014053651173669898,0.21286046026939603,0.17846224718675407,0.1932345825523908,0.2509975976406449,0.9136079660002887,0.2815997814141752,0.23971874228254947,0.12992346418237152,0.15075893931609013,1.0,0.2332857904534012,0.23452617251147365,0.30220754222272106,0.7379913736834441,0.1799559808705265,0.1891714540090198,0.8913738198103164,0.8133933531460337,0.2350919715271891,0.24270854742618475,0.2680098914570201,0.17818646929291557,0.23875149918637645,0.18952097023735048,0.2011691164053564,0.2618503457296465,0.2487614934267534,0.24021114025187548,0.14206733995424195,0.30894083747708034,0.08648877826219246,0.13323189650409217,0.12101930460557155,0.1578473691521161,0.20411200813250976,0.27573411186140595,0.14836605584835183,0.09439662868807829,0.19128175612175857,0.14345195179544615,0.16066801747417803,0.12976282882932477,0.20287774431555095,0.17827043353862704,0.16503170767111391,0.14896309247181846
E113,0.14308838495889817,0.13251736030097003,0.17252022857067736,0.09400444252735901,0.011677658477279728,0.11574114127797551,0.024874626544082856,0.21895714047830805,0.05835958428542188,0.4333578401114205,0.38582855816788514,0.4128798665541095,0.5664057404262632,0.35710011056811897,0.49233527413089617,0.4530478225134571,0.31474199239155287,0.2874765338206908,0.2332857904534012,1.0,0.5195810889701575,0.5683622853597926,0.33380067215054027,0.3771175883861277,0.4680007682911947,0.29012188358629615,0.2887524191427654,0.47950602812436877,0.5085304787243715,0.5429966092969936,0.36182514122703235,0.5459952261119851,0.374328786324153,0.39514590821413975,0.5678822181967493,0.5732199867886754,0.5194745130782289,0.3046948499784197,0.3107735798189605,0.21109658199583492,0.3708591747669445,0.10970824780263254,0.3187957178916756,0.49034728685542356,0.5058762899960235,0.49989335294923004,0.3150280455590231,0.4376732241795571,0.4661854685414021,0.4721022553452591,0.47598201580951977,0.5562287733546663,0.38324027488992907,0.3195126397062789,0.3005797495532705
